feature,importance,kind,family
spectral_entropy_mean,0.0,impurity/gain,spectral
mfcc_14_iqr,0.0,impurity/gain,mfcc
mfcc_14_skew,0.0,impurity/gain,mfcc
mfcc_14_kurt,0.0,impurity/gain,mfcc
mfcc_15_mean,0.0,impurity/gain,mfcc
mfcc_15_std,0.0,impurity/gain,mfcc
mfcc_15_min,0.0,impurity/gain,mfcc
mfcc_15_max,0.0,impurity/gain,mfcc
mfcc_15_median,0.0,impurity/gain,mfcc
mfcc_15_iqr,0.0,impurity/gain,mfcc
spectral_flux_kurt,0.0,impurity/gain,spectral
spectral_flux_skew,0.0,impurity/gain,spectral
spectral_flux_max,0.0,impurity/gain,spectral
mfcc_16_min,0.0,impurity/gain,mfcc
mfcc_16_iqr,0.0,impurity/gain,mfcc
mfcc_17_mean,0.0,impurity/gain,mfcc
mfcc_17_std,0.0,impurity/gain,mfcc
prosody_cpps,0.0,impurity/gain,prosody
