model,train_condition,test_condition,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,log_loss,top2_accuracy
random_forest,ref,mp4_aac64,0.5207317073170732,0.5223214285714286,0.5077712653574135,0.5072515236485177,0.4250798351560131,1.3207740261357086,0.7280487804878049
random_forest,ref,roundtrip_wav,0.5201219512195122,0.5217261904761905,0.5067411096384976,0.50619624218036,0.42434838456460844,1.3214365990205554,0.7268292682926829
extra_trees,ref,ref,0.5158536585365854,0.5191468253968253,0.4962982318500863,0.49460390175458185,0.4194560855996433,1.2881910246329864,0.7420731707317073
extra_trees,ref,mp3_64,0.5182926829268293,0.5208333333333334,0.49948973521346746,0.49819713880781286,0.42225710361557545,1.299791434015073,0.7371951219512195
extra_trees,ref,mp4_aac64,0.5103658536585366,0.5122023809523809,0.49517984689489875,0.4946832747386366,0.4127918383362763,1.3261834642577164,0.7310975609756097
extra_trees,ref,roundtrip_wav,0.5048780487804878,0.5067460317460318,0.4882660190427978,0.48780308348746126,0.4062633756598657,1.3271097658717392,0.7298780487804878
hist_gradient_boosting,ref,ref,0.572560975609756,0.5730158730158731,0.5662158738113279,0.5661445956956748,0.48694193041646583,1.2533280461540062,0.776219512195122
hist_gradient_boosting,ref,mp3_64,0.5591463414634147,0.5591269841269841,0.5543252850610408,0.5542558393997844,0.47067016660416783,1.2564739175882833,0.7731707317073171
hist_gradient_boosting,ref,mp4_aac64,0.5323170731707317,0.5303571428571429,0.5250614492115778,0.525839760535482,0.43802494728189,1.3241551342586935,0.7451219512195122
hist_gradient_boosting,ref,roundtrip_wav,0.5347560975609756,0.5333333333333333,0.5276840447191339,0.5279729944910055,0.44099567563703934,1.324208953807499,0.7481707317073171
adaboost,ref,ref,0.5195121951219512,0.520734126984127,0.5136723732242932,0.5131483762297638,0.4234009137635637,1.7767066866915227,0.7554878048780488
adaboost,ref,mp3_64,0.5115853658536585,0.5107142857142858,0.5069187476569997,0.5071141827682369,0.4133126105364703,1.776890174700843,0.7371951219512195
adaboost,ref,mp4_aac64,0.48841463414634145,0.4865079365079365,0.47866010873876336,0.47994238074405665,0.3855126831011074,1.778781247418237,0.7085365853658536
adaboost,ref,roundtrip_wav,0.48597560975609755,0.48392857142857143,0.4762394688683093,0.47758548929000105,0.3825389452622553,1.7787833714506374,0.7036585365853658
svm_rbf,ref,ref,0.5853658536585366,0.5856150793650794,0.5807939292816177,0.5801179119885381,0.5020539382032505,1.1104445667734455,0.7865853658536586
svm_rbf,ref,mp3_64,0.20792682926829267,0.20297619047619045,0.10613427712481716,0.1087229180303005,0.04485294117647054,1.9549699375778269,0.34146341463414637
svm_rbf,ref,mp4_aac64,0.5048780487804878,0.4988095238095238,0.4834956401134722,0.4864989396196457,0.403935330241885,1.2941197448249582,0.6926829268292682
svm_rbf,ref,roundtrip_wav,0.5030487804878049,0.49692460317460313,0.48169530278408096,0.4847489572842306,0.40171169719432076,1.2986095607457533,0.6926829268292682
linear_svm,ref,ref,0.5829268292682926,0.5843253968253967,0.5769966593350923,0.576252795683911,0.4994556196119728,,
linear_svm,ref,mp3_64,0.4091463414634146,0.4051587301587301,0.3370307224177323,0.33626917983636073,0.2884570609832543,,
linear_svm,ref,mp4_aac64,0.4768292682926829,0.4711309523809524,0.46968209368092734,0.47291145922170896,0.37022449783379274,,
linear_svm,ref,roundtrip_wav,0.4676829268292683,0.46230158730158727,0.4646803689512094,0.4677413221805144,0.3592603200744692,,
