pair,rho_used,p_used,rho_all,n_used,top25_overlap
bootstrap,-0.27046614281301873,8.367714004835921e-07,0.03739197128601794,322,8
bootstrap,-0.15216161906339462,0.007372405757807865,0.16327972582751535,309,6
bootstrap,-0.17385100825690153,0.0024310051214292347,0.1678281337740195,302,7
bootstrap,-0.2153196395683883,0.00012976916246278109,0.12990636755168813,311,8
bootstrap,-0.21481752795651177,0.00016460545219395905,0.13672512818908383,303,9
bootstrap,-0.27377373171772523,6.843484950789377e-07,0.05065157085171068,319,5
bootstrap,-0.1556051747067159,0.006469707052319106,0.18172746627151562,305,8
bootstrap,-0.24873470452677388,1.0001437685820006e-05,0.1280488635786868,308,6
bootstrap,-0.1842474050228963,0.0012513968126456208,0.16304110045518394,304,8
bootstrap,-0.18905679822800328,0.0007898630934578478,0.13425250531985347,312,7
bootstrap,-0.20576381758506723,0.00027118140486636055,0.12250090796566869,309,10
bootstrap,-0.2018057877396335,0.00035719636980810254,0.12705384091575583,309,7
bootstrap,-0.19988536664740267,0.00039011782552198236,0.13187526902663246,311,8
bootstrap,-0.23360245281812045,3.172112396935541e-05,0.11001152312556178,311,9
bootstrap,-0.20253762906731382,0.0003631849985521143,0.1406228168439601,306,7
bootstrap,-0.10555881909400336,0.05769329818901312,0.13769027644079151,324,8
bootstrap,-0.22307583337907635,8.985425761833074e-05,0.1367549742845427,303,7
bootstrap,-0.22400321488468536,8.382966789390327e-05,0.1689397633437039,303,5
bootstrap,-0.15500034127970985,0.006416991763941651,0.17309396340967018,308,9
bootstrap,-0.20928524657210398,0.0001831501364917441,0.12136170886256431,315,6
bootstrap,-0.1930589219834136,0.0006447227800216216,0.13697168534148635,309,9
bootstrap,-0.09943392393732947,0.08145893727119606,0.20758814205258233,308,12
bootstrap,-0.24167223262039275,1.6413312239179367e-05,0.08016602451226709,311,8
bootstrap,-0.2309614809644496,3.696200492969607e-05,0.08969350322765905,313,11
