feature,importance,kind,family
mfcc_18_median,0.11774976901642321,mean |coefficient|,mfcc
spectral_rolloff95_kurt,0.11744990231216623,mean |coefficient|,spectral
mfcc_05_iqr,0.11731223934031039,mean |coefficient|,mfcc
mfcc_19_max,0.11643028693732106,mean |coefficient|,mfcc
spectral_band_6000_8000_mean,0.11515253058669607,mean |coefficient|,spectral
mfcc_07_skew,0.11385526163822295,mean |coefficient|,mfcc
spectral_slope_skew,0.11365022419969549,mean |coefficient|,spectral
chroma_05_std,0.11335968605347564,mean |coefficient|,chroma
mfcc_10_kurt,0.11302995201332915,mean |coefficient|,mfcc
mfcc_16_kurt,0.11298089654345805,mean |coefficient|,mfcc
mfcc_d2_14_mean,0.11286863106471146,mean |coefficient|,mfcc
mfcc_d2_07_std,0.11280279813004655,mean |coefficient|,mfcc
spectral_hf_ratio_6000_mean,0.11258508129419122,mean |coefficient|,spectral
spectral_entropy_min,0.11243657074110024,mean |coefficient|,spectral
spectral_centroid_kurt,0.11014240306371799,mean |coefficient|,spectral
mfcc_d1_01_mean,0.10932950286520159,mean |coefficient|,mfcc
mfcc_13_skew,0.10764849383751919,mean |coefficient|,mfcc
mfcc_07_iqr,0.10762410893746288,mean |coefficient|,mfcc
mfcc_06_skew,0.10697644128906288,mean |coefficient|,mfcc
mfcc_04_kurt,0.10678106349011056,mean |coefficient|,mfcc
mfcc_d2_09_std,0.10594210843368342,mean |coefficient|,mfcc
mfcc_03_skew,0.10591647995633137,mean |coefficient|,mfcc
mfcc_d2_19_mean,0.1043349987155129,mean |coefficient|,mfcc
mfcc_d1_18_std,0.10385498684917394,mean |coefficient|,mfcc
mfcc_08_kurt,0.10377674132118468,mean |coefficient|,mfcc
mfcc_10_min,0.10355019250879066,mean |coefficient|,mfcc
mfcc_08_max,0.10331396035045255,mean |coefficient|,mfcc
mfcc_12_kurt,0.10204530007166868,mean |coefficient|,mfcc
mfcc_d2_10_std,0.10093266414820729,mean |coefficient|,mfcc
mfcc_d1_11_mean,0.10039535859689414,mean |coefficient|,mfcc
mfcc_d2_04_mean,0.1003199412415589,mean |coefficient|,mfcc
mfcc_d2_02_mean,0.09953276383168447,mean |coefficient|,mfcc
mfcc_05_kurt,0.09657759809760395,mean |coefficient|,mfcc
mfcc_d2_06_mean,0.09627779109646695,mean |coefficient|,mfcc
mfcc_d1_07_std,0.09499655291513776,mean |coefficient|,mfcc
mfcc_d2_03_mean,0.09473724957960951,mean |coefficient|,mfcc
mfcc_09_max,0.0945729128306355,mean |coefficient|,mfcc
prosody_shimmer_apq5,0.09445870208518926,mean |coefficient|,prosody
mfcc_17_skew,0.09445246332678071,mean |coefficient|,mfcc
mfcc_d2_05_std,0.09382485335651287,mean |coefficient|,mfcc
spectral_contrast_1_mean,0.09367487340355209,mean |coefficient|,spectral
mfcc_18_min,0.09360317124764746,mean |coefficient|,mfcc
mfcc_18_skew,0.09298431492177311,mean |coefficient|,mfcc
mfcc_09_kurt,0.09154567611130073,mean |coefficient|,mfcc
mfcc_d2_13_mean,0.09027721348167034,mean |coefficient|,mfcc
mfcc_15_kurt,0.08944995649813915,mean |coefficient|,mfcc
mfcc_d1_02_mean,0.08776793303363893,mean |coefficient|,mfcc
mfcc_11_kurt,0.0876573099823265,mean |coefficient|,mfcc
mfcc_d2_16_mean,0.08626267298629271,mean |coefficient|,mfcc
mfcc_d2_07_mean,0.0858892173868715,mean |coefficient|,mfcc
mfcc_d1_00_mean,0.08586909641817579,mean |coefficient|,mfcc
mfcc_18_kurt,0.08539294376161695,mean |coefficient|,mfcc
mfcc_d2_09_mean,0.08522630051472506,mean |coefficient|,mfcc
mfcc_05_skew,0.08417320352974027,mean |coefficient|,mfcc
mfcc_d1_04_mean,0.08232115817657464,mean |coefficient|,mfcc
mfcc_07_max,0.08010050371797962,mean |coefficient|,mfcc
mfcc_d1_14_mean,0.07774385362903517,mean |coefficient|,mfcc
prosody_shimmer_dda,0.07746683545625789,mean |coefficient|,prosody
prosody_shimmer_apq3,0.07746683545625628,mean |coefficient|,prosody
mfcc_12_skew,0.07514718070623548,mean |coefficient|,mfcc
mfcc_17_iqr,0.07319356505476136,mean |coefficient|,mfcc
mfcc_d2_04_std,0.07305035970111882,mean |coefficient|,mfcc
spectral_slope_min,0.07268563274254232,mean |coefficient|,spectral
mfcc_d1_05_mean,0.07111696782976358,mean |coefficient|,mfcc
mfcc_d2_18_std,0.06817625071049198,mean |coefficient|,mfcc
spectral_zcr_min,0.06742859719010912,mean |coefficient|,spectral
mfcc_03_kurt,0.06647950172373941,mean |coefficient|,mfcc
mfcc_d1_13_mean,0.06536113193637966,mean |coefficient|,mfcc
mfcc_02_skew,0.06211394964862938,mean |coefficient|,mfcc
spectral_rolloff85_min,0.06158579798700137,mean |coefficient|,spectral
mfcc_d2_05_mean,0.061516020036519375,mean |coefficient|,mfcc
mfcc_d2_14_std,0.059971124394271345,mean |coefficient|,mfcc
mfcc_d1_18_mean,0.059183050054000354,mean |coefficient|,mfcc
mfcc_d2_11_mean,0.05913885560436494,mean |coefficient|,mfcc
mfcc_19_kurt,0.057584262182526325,mean |coefficient|,mfcc
