feature,family,anova_F,anova_p,mutual_info
mfcc_08_mean,mfcc,49.44876356090401,1.5266074694256424e-50,0.034625301634542804
spectral_zcr_kurt,spectral,49.0143112889961,4.313137648214643e-50,0.009981571329357397
spectral_flatness_min,spectral,48.99170233269365,4.55269983487204e-50,0.03912664280151201
mfcc_11_max,mfcc,47.35076041382036,2.305053347388456e-48,0.0328663454482494
spectral_zcr_skew,spectral,46.4967455637572,1.7789257253003117e-47,0.022185530384740915
spectral_rolloff95_max,spectral,45.02444847952813,6.03680377795726e-46,0.008335663074417354
mfcc_15_median,mfcc,42.94527323372699,8.78519853239642e-44,0.027482241038061073
spectral_hf_ratio_4000_mean,spectral,42.83629239303252,1.1406838614068792e-43,0.023272324479977513
spectral_bandwidth_std,spectral,42.78668920086824,1.2846578669139126e-43,0.031495160626110685
spectral_flatness_iqr,spectral,42.21875314160347,5.0107123834455965e-43,0.057612064190993184
mfcc_01_kurt,mfcc,41.32419595596585,4.277373385015767e-42,0.015526685240461191
mfcc_12_median,mfcc,41.25611666109334,5.035720076494925e-42,0.013742000702164692
mfcc_03_skew,mfcc,40.603997712631276,2.4050479320198955e-41,0.02133211034306104
mfcc_02_skew,mfcc,40.55857371465396,2.681818453406947e-41,0.027595711222685004
mfcc_08_median,mfcc,40.10210283409037,8.013894145174334e-41,0.021852259951406605
mfcc_06_median,mfcc,39.617789255247885,2.5604910757128467e-40,0.016443042310436695
mfcc_09_skew,mfcc,38.703863969512575,2.293422766806637e-39,0.022302137238364494
prosody_f3_mean,prosody,38.59116707667904,3.0054650779752196e-39,0.009551502848573978
mfcc_12_skew,mfcc,38.2508596522374,6.800244490047031e-39,0.030374658566603152
mfcc_d2_01_mean,mfcc,38.24196690221755,6.946907308893189e-39,0.040223072844734364
spectral_band_6000_8000_mean,spectral,37.998162171879336,1.246992910363574e-38,0.029121460208002325
spectral_hf_ratio_6000_mean,spectral,37.96406458411846,1.3533146545798456e-38,0.029179306282024253
spectral_flux_max,spectral,36.873346511930336,1.8545573914546268e-37,0.0
spectral_bandwidth_max,spectral,36.364435014312306,6.291676014676714e-37,0.02729072169181146
spectral_band_5000_6000_std,spectral,35.461875225991875,5.492802745310419e-36,0.00896840869711335
mfcc_13_kurt,mfcc,34.73200134944639,3.168764697734444e-35,0.019168558669019564
mfcc_10_skew,mfcc,34.73190689135293,3.169483505215884e-35,0.023343277883230762
spectral_band_4000_5000_mean,spectral,34.34482289153856,8.029127519592935e-35,0.037143129871178626
prosody_f0_skew,prosody,34.27994197078925,9.382819298875615e-35,0.039577971213479834
mfcc_09_max,mfcc,31.06903280035565,2.097329312727105e-31,0.015352776110922228
spectral_band_5000_6000_mean,spectral,30.06320513448858,2.3496657471599217e-30,0.023612593932555548
mfcc_15_mean,mfcc,29.567212800637865,7.73495228991739e-30,0.04909961982593014
mfcc_01_max,mfcc,29.167141286905224,2.0222482806483834e-29,0.012616345898740278
spectral_entropy_min,spectral,28.033974618327523,3.0758789466202634e-28,0.03682332888643458
